it nTrial nWin nCatch RMSerror.start RMSerror.antic RMSerror.win RMSerror.nowin GLT.w-n GLT.a-w GLT.a-n GLT.a-w-n r.win r.nowin
38 36 9 5 0.36950 0.28120 0.43490 0.37600 0.26460 0.52490 0.47550 0.82650 -0.040 0.006
39 36 9 5 0.36550 0.27930 0.42760 0.39370 0.28840 0.51180 0.47930 0.81750 -0.005 0.039
40 36 9 5 0.34970 0.27700 0.39150 0.34820 0.27310 0.46320 0.42770 0.72160 -0.020 -0.048
41 36 9 5 0.31570 0.28040 0.38430 0.34940 0.27530 0.45650 0.42080 0.70770 -0.076 -0.052
42 36 9 5 0.33540 0.27360 0.39180 0.34630 0.27590 0.47290 0.43440 0.73130 0.038 -0.111
43 36 9 5 0.38890 0.28380 0.41190 0.37940 0.25990 0.49080 0.46140 0.78700 -0.005 -0.027
44 36 9 5 0.32450 0.27740 0.40410 0.33050 0.33160 0.52370 0.44890 0.74920 -0.084 0.061
45 36 9 5 0.35040 0.27810 0.41710 0.33230 0.27520 0.48690 0.42950 0.74350 -0.130 0.075
46 36 9 5 0.36720 0.27470 0.41190 0.38610 0.28530 0.51420 0.48980 0.81620 0.088 0.026
47 36 9 5 0.33910 0.27900 0.40780 0.35340 0.29050 0.48760 0.43880 0.74790 0.010 -0.019
48 36 9 5 0.33380 0.29190 0.41710 0.33720 0.29890 0.48720 0.41880 0.72520 -0.001 -0.072
49 36 9 5 0.34100 0.27180 0.41000 0.36950 0.28710 0.49270 0.45610 0.77400 -0.001 -0.061
50 36 9 5 0.34780 0.27210 0.39880 0.36420 0.28790 0.48780 0.46000 0.76440 0.004 -0.034
51 36 9 5 0.33600 0.27460 0.43980 0.36650 0.28600 0.49500 0.44700 0.78450 -0.014 -0.028
52 36 9 5 0.35560 0.27440 0.44330 0.35990 0.27730 0.51110 0.44980 0.79830 -0.069 0.013
53 36 9 5 0.31450 0.27100 0.38340 0.31610 0.27140 0.46630 0.42240 0.70400 -0.012 -0.001
54 36 9 5 0.32250 0.27570 0.38860 0.34300 0.27710 0.49600 0.46480 0.76020 -0.071 0.048
55 36 9 5 0.37330 0.28020 0.46590 0.40520 0.27880 0.51850 0.46800 0.84430 -0.003 -0.051
