iteration nWin nCatch sum contrast
w36_c05_0045 36 5 0.44670 0.71410
w36_c05_0046 36 5 0.45410 0.73630
w36_c05_0047 36 5 0.44800 0.69640
w36_c05_0048 36 5 0.45610 0.73250
w36_c05_0049 36 5 0.45480 0.75120
w36_c05_0050 36 5 0.45000 0.72280
w36_c10_0001 36 10 0.45520 0.73110
w36_c10_0002 36 10 0.45510 0.72160
w36_c10_0003 36 10 0.45140 0.71160
w36_c10_0004 36 10 0.45670 0.73750
w36_c10_0005 36 10 0.44700 0.69960
w36_c10_0006 36 10 0.45380 0.72160
w36_c10_0007 36 10 0.45220 0.73570
w36_c10_0008 36 10 0.45810 0.74250
w36_c10_0009 36 10 0.45830 0.73960
w36_c10_0010 36 10 0.45420 0.70420
w36_c10_0011 36 10 0.45180 0.70600
w36_c10_0012 36 10 0.45530 0.73350
w36_c10_0013 36 10 0.46650 0.75660
w36_c10_0014 36 10 0.45470 0.71470
w36_c10_0015 36 10 0.46510 0.74690
w36_c10_0016 36 10 0.44250 0.69430
w36_c10_0017 36 10 0.44960 0.71690
w36_c10_0018 36 10 0.45390 0.73460
w36_c10_0019 36 10 0.45600 0.73620
w36_c10_0020 36 10 0.46240 0.74470
w36_c10_0021 36 10 0.45500 0.72560
w36_c10_0022 36 10 0.45150 0.71860
w36_c10_0023 36 10 0.45540 0.73090
w36_c10_0024 36 10 0.45350 0.73120
w36_c10_0025 36 10 0.45290 0.72060
w36_c10_0026 36 10 0.44780 0.71970
w36_c10_0027 36 10 0.45540 0.73050
w36_c10_0028 36 10 0.45380 0.71910
w36_c10_0029 36 10 0.46780 0.76700
w36_c10_0030 36 10 0.45200 0.71800
w36_c10_0031 36 10 0.45310 0.70100
w36_c10_0032 36 10 0.45390 0.72630
w36_c10_0033 36 10 0.45650 0.74800
w36_c10_0034 36 10 0.44810 0.70100
w36_c10_0035 36 10 0.44170 0.69740
w36_c10_0036 36 10 0.45980 0.72010
w36_c10_0037 36 10 0.46830 0.76630
w36_c10_0038 36 10 0.45430 0.72410
w36_c10_0039 36 10 0.44970 0.70950
w36_c10_0040 36 10 0.46150 0.74710
w36_c10_0041 36 10 0.44800 0.71890
w36_c10_0042 36 10 0.45430 0.72200
w36_c10_0043 36 10 0.45050 0.72370
w36_c10_0044 36 10 0.45830 0.74720
w36_c10_0045 36 10 0.46160 0.74380
w36_c10_0046 36 10 0.46980 0.77030
w36_c10_0047 36 10 0.44960 0.70960
w36_c10_0048 36 10 0.46960 0.74940
w36_c10_0049 36 10 0.45560 0.71780
w36_c10_0050 36 10 0.45000 0.71550
w36_c15_0001 36 15 0.46150 0.74620
w36_c15_0002 36 15 0.44810 0.70330
w36_c15_0003 36 15 0.45270 0.70970
w36_c15_0004 36 15 0.45840 0.73720
w36_c15_0005 36 15 0.45500 0.72920
w36_c15_0006 36 15 0.46570 0.75750
w36_c15_0007 36 15 0.44880 0.70850
w36_c15_0008 36 15 0.44780 0.70810
w36_c15_0009 36 15 0.45680 0.73070
w36_c15_0010 36 15 0.45020 0.71460
w36_c15_0011 36 15 0.46290 0.75120
w36_c15_0012 36 15 0.45670 0.74190
w36_c15_0013 36 15 0.46970 0.75340
w36_c15_0014 36 15 0.45270 0.73140
w36_c15_0015 36 15 0.46080 0.74310
w36_c15_0016 36 15 0.45960 0.74080
w36_c15_0017 36 15 0.44980 0.71830
w36_c15_0018 36 15 0.44780 0.71370
w36_c15_0019 36 15 0.44800 0.70290
w36_c15_0020 36 15 0.45660 0.73800
w36_c15_0021 36 15 0.45270 0.71530
w36_c15_0022 36 15 0.45110 0.71780
w36_c15_0023 36 15 0.45240 0.72520
w36_c15_0024 36 15 0.45180 0.71180
w36_c15_0025 36 15 0.45030 0.70500
w36_c15_0026 36 15 0.45350 0.72950
w36_c15_0027 36 15 0.45470 0.72800
w36_c15_0028 36 15 0.44350 0.69460
w36_c15_0029 36 15 0.44780 0.69570
w36_c15_0030 36 15 0.45890 0.74690
w36_c15_0031 36 15 0.46160 0.73830
w36_c15_0032 36 15 0.45720 0.71490
w36_c15_0033 36 15 0.45660 0.73070
w36_c15_0034 36 15 0.45070 0.70580
w36_c15_0035 36 15 0.45800 0.73120
w36_c15_0036 36 15 0.44940 0.71520
w36_c15_0037 36 15 0.44530 0.70570
w36_c15_0038 36 15 0.47010 0.77430
w36_c15_0039 36 15 0.45610 0.72130
w36_c15_0040 36 15 0.46050 0.72770
w36_c15_0041 36 15 0.44840 0.70800
w36_c15_0042 36 15 0.45850 0.71990
w36_c15_0043 36 15 0.46760 0.74200
w36_c15_0044 36 15 0.44710 0.70280
w36_c15_0045 36 15 0.45240 0.72690
w36_c15_0046 36 15 0.45990 0.73350
w36_c15_0047 36 15 0.46290 0.71480
w36_c15_0048 36 15 0.44950 0.71300
w36_c15_0049 36 15 0.44930 0.70010
w36_c15_0050 36 15 0.44800 0.72360
w36_c20_0001 36 20 0.45040 0.69870
w36_c20_0002 36 20 0.45640 0.72450
w36_c20_0003 36 20 0.45190 0.71150
w36_c20_0004 36 20 0.44340 0.69480
w36_c20_0005 36 20 0.45530 0.72840
w36_c20_0006 36 20 0.46720 0.74550
w36_c20_0007 36 20 0.44840 0.70220
w36_c20_0008 36 20 0.45150 0.71010
w36_c20_0009 36 20 0.45890 0.71780
w36_c20_0010 36 20 0.45380 0.72190
w36_c20_0011 36 20 0.46820 0.77130
w36_c20_0012 36 20 0.44960 0.71570
w36_c20_0013 36 20 0.45480 0.72910
w36_c20_0014 36 20 0.45780 0.74270
w36_c20_0015 36 20 0.45690 0.72680
w36_c20_0016 36 20 0.45810 0.71150
w36_c20_0017 36 20 0.45520 0.71240
w36_c20_0018 36 20 0.45320 0.70480
w36_c20_0019 36 20 0.46250 0.72040
w36_c20_0020 36 20 0.45330 0.72080
w36_c20_0021 36 20 0.45100 0.72440
w36_c20_0022 36 20 0.45420 0.71110
w36_c20_0023 36 20 0.45060 0.71500
w36_c20_0024 36 20 0.45050 0.71390
w36_c20_0025 36 20 0.45550 0.70740
w36_c20_0026 36 20 0.45520 0.71180
w36_c20_0027 36 20 0.44910 0.71410
w36_c20_0028 36 20 0.45360 0.71050
w36_c20_0029 36 20 0.45430 0.72700
w36_c20_0030 36 20 0.45900 0.74130
w36_c20_0031 36 20 0.45450 0.71720
w36_c20_0032 36 20 0.45370 0.71950
w36_c20_0033 36 20 0.47290 0.77220
w36_c20_0034 36 20 0.46050 0.72110
w36_c20_0035 36 20 0.45670 0.69810
w36_c20_0036 36 20 0.45570 0.72020
w36_c20_0037 36 20 0.46850 0.74840
w36_c20_0038 36 20 0.45230 0.70000
w36_c20_0039 36 20 0.45810 0.73640
w36_c20_0040 36 20 0.44750 0.71180
w36_c20_0041 36 20 0.45080 0.72280
w36_c20_0042 36 20 0.45900 0.73370
w36_c20_0043 36 20 0.45280 0.70180
w36_c20_0044 36 20 0.45730 0.71440
w36_c20_0045 36 20 0.45730 0.73720
w36_c20_0046 36 20 0.46450 0.75280
w36_c20_0047 36 20 0.44490 0.71070
w36_c20_0048 36 20 0.47110 0.75180
w36_c20_0049 36 20 0.45530 0.72820
w36_c20_0050 36 20 0.45240 0.71740
w54_c05_0001 54 5 0.44540 0.71460
w54_c05_0002 54 5 0.44360 0.70460
w54_c05_0003 54 5 0.44440 0.69740
w54_c05_0004 54 5 0.44790 0.72320
w54_c05_0005 54 5 0.44830 0.72530
w54_c05_0006 54 5 0.44100 0.69200
w54_c05_0007 54 5 0.45290 0.72400
w54_c05_0008 54 5 0.45240 0.71850
w54_c05_0009 54 5 0.45310 0.73260
w54_c05_0010 54 5 0.46280 0.75370
w54_c05_0011 54 5 0.45410 0.73980
w54_c05_0012 54 5 0.44600 0.69170
w54_c05_0013 54 5 0.45910 0.73990
w54_c05_0014 54 5 0.44080 0.69490
w54_c05_0015 54 5 0.44260 0.70720
w54_c05_0016 54 5 0.45270 0.70370
w54_c05_0017 54 5 0.44550 0.71290
w54_c05_0018 54 5 0.47380 0.77600
w54_c05_0019 54 5 0.44670 0.69700
w54_c05_0020 54 5 0.46350 0.76170
w54_c05_0021 54 5 0.44090 0.70540
w54_c05_0022 54 5 0.44830 0.69240
w54_c05_0023 54 5 0.44240 0.69020
w54_c05_0024 54 5 0.45150 0.72660
w54_c05_0025 54 5 0.44130 0.69790
w54_c05_0026 54 5 0.44470 0.71460
w54_c05_0027 54 5 0.44910 0.72000
w54_c05_0028 54 5 0.45060 0.70210
w54_c05_0029 54 5 0.44870 0.68180
w54_c05_0030 54 5 0.45110 0.72240
w54_c05_0031 54 5 0.45180 0.73600
w54_c05_0032 54 5 0.45430 0.74060
w54_c05_0033 54 5 0.45440 0.73480
w54_c05_0034 54 5 0.44200 0.70750
w54_c05_0035 54 5 0.45310 0.72450
w54_c05_0036 54 5 0.43750 0.68420
w54_c05_0037 54 5 0.43820 0.67990
w54_c05_0038 54 5 0.44900 0.68870
w54_c05_0039 54 5 0.45410 0.70340
w54_c05_0040 54 5 0.45520 0.72420
w54_c05_0041 54 5 0.44080 0.70080
w54_c05_0042 54 5 0.44250 0.70090
w54_c05_0043 54 5 0.45010 0.71850
w54_c05_0044 54 5 0.44380 0.69020
w54_c05_0045 54 5 0.45970 0.71230
w54_c05_0046 54 5 0.44310 0.71660
w54_c05_0047 54 5 0.44320 0.70630
w54_c05_0048 54 5 0.44720 0.70590
w54_c05_0049 54 5 0.45010 0.71690
w54_c05_0050 54 5 0.44650 0.71710
